flavor,sold_at,price_thb,quantity,branch,total_sale
Thai Tea,2025-07-02T11:36:34+07:00,75,1,Hat Yai - Lee Gardens,75
Matcha Green Tea,2025-07-02T15:28:36+07:00,55,1,Khon Kaen - Central,55
Vanilla,2025-07-02T19:10:39+07:00,49,2,Phuket Old Town,98
Chocolate,2025-07-03T11:40:12+07:00,85,1,Udon Thani,85
Thai Tea,2025-07-03T15:32:32+07:00,75,3,Rama 9,225
Coconut,2025-07-03T17:59:11+07:00,89,2,Khon Kaen - Central,178
Coconut,2025-07-04T10:54:04+07:00,85,1,Silom Complex,85
Strawberry,2025-07-04T17:11:00+07:00,75,1,Udon Thani,75
Durian,2025-07-04T19:47:26+07:00,65,1,Silom Complex,65
Chocolate,2025-07-04T19:56:17+07:00,59,1,Khon Kaen - Central,59
Matcha Green Tea,2025-07-04T21:14:55+07:00,65,4,Hat Yai - Lee Gardens,260
Mango,2025-07-05T11:15:14+07:00,85,2,Siam Paragon,170
Strawberry,2025-07-05T18:46:57+07:00,55,1,CentralWorld,55
Cookies & Cream,2025-07-05T19:47:10+07:00,75,2,Khon Kaen - Central,150
Chocolate,2025-07-05T21:31:39+07:00,49,1,Chiang Mai - Nimman,49
Mango,2025-07-06T11:28:19+07:00,95,1,Siam Paragon,95
Thai Tea,2025-07-06T17:28:39+07:00,69,1,Hat Yai - Lee Gardens,69
Chocolate,2025-07-07T16:42:03+07:00,49,2,Bangna,98
Durian,2025-07-07T17:06:24+07:00,59,2,Khon Kaen - Central,118
Chocolate,2025-07-07T18:27:44+07:00,69,1,Chiang Mai - Nimman,69
Vanilla,2025-07-07T20:46:08+07:00,45,1,Hat Yai - Lee Gardens,45
Durian,2025-07-08T16:22:16+07:00,49,2,Rama 9,98
Coconut,2025-07-08T17:18:09+07:00,65,1,Rama 9,65
Durian,2025-07-09T11:58:11+07:00,45,1,Silom Complex,45
Mango,2025-07-09T20:42:26+07:00,79,2,Khon Kaen - Central,158
Strawberry,2025-07-10T18:11:09+07:00,75,3,Phuket Old Town,225
Durian,2025-07-11T13:32:16+07:00,65,1,Siam Paragon,65
Durian,2025-07-12T16:57:07+07:00,69,1,Silom Complex,69
Vanilla,2025-07-12T21:48:30+07:00,79,2,Chiang Mai - Nimman,158
Mango,2025-07-13T13:56:12+07:00,45,1,Phuket Old Town,45
Blueberry Cheesecake,2025-07-13T13:56:55+07:00,75,4,Silom Complex,300
Blueberry Cheesecake,2025-07-13T21:22:05+07:00,85,1,Rama 9,85
Vanilla,2025-07-14T11:00:45+07:00,59,2,Hat Yai - Lee Gardens,118
Chocolate,2025-07-14T14:54:42+07:00,55,2,Silom Complex,110
Thai Tea,2025-07-14T15:18:04+07:00,85,1,Siam Paragon,85
Vanilla,2025-07-14T15:27:01+07:00,55,2,Phuket Old Town,110
Matcha Green Tea,2025-07-14T17:11:43+07:00,79,2,Phuket Old Town,158
Chocolate,2025-07-14T17:49:59+07:00,89,1,Chiang Mai - Nimman,89
Blueberry Cheesecake,2025-07-15T12:13:07+07:00,49,2,Siam Paragon,98
Cookies & Cream,2025-07-15T12:38:42+07:00,75,1,Phuket Old Town,75
Durian,2025-07-15T17:11:34+07:00,59,1,CentralWorld,59
Thai Tea,2025-07-15T17:18:29+07:00,49,1,Bangna,49
Coconut,2025-07-16T18:17:09+07:00,65,1,Silom Complex,65
Blueberry Cheesecake,2025-07-17T17:00:54+07:00,95,2,Bangna,190
Durian,2025-07-17T18:10:35+07:00,95,1,Siam Paragon,95
Coconut,2025-07-17T18:41:05+07:00,79,2,Bangna,158
Strawberry,2025-07-17T21:00:19+07:00,85,2,Hat Yai - Lee Gardens,170
Strawberry,2025-07-19T10:10:54+07:00,55,1,Bangna,55
Durian,2025-07-19T10:32:42+07:00,85,1,Rama 9,85
Cookies & Cream,2025-07-19T15:17:02+07:00,69,2,CentralWorld,138
Blueberry Cheesecake,2025-07-19T19:13:25+07:00,95,2,Silom Complex,190
Matcha Green Tea,2025-07-19T19:35:16+07:00,45,1,Chiang Mai - Nimman,45
Strawberry,2025-07-20T19:58:29+07:00,65,1,Khon Kaen - Central,65
Blueberry Cheesecake,2025-07-21T18:51:58+07:00,55,1,Phuket Old Town,55
Blueberry Cheesecake,2025-07-21T19:45:50+07:00,89,1,Chiang Mai - Nimman,89
Durian,2025-07-22T13:26:23+07:00,69,1,Silom Complex,69
Mango,2025-07-22T17:14:37+07:00,69,3,CentralWorld,207
Mango,2025-07-22T18:14:09+07:00,59,1,CentralWorld,59
Mango,2025-07-24T11:34:02+07:00,95,1,Phuket Old Town,95
